"";"age";"job";"marital";"education";"default";"balance";"housing";"loan";"day";"duration";"campaign";"pdays";"previous";"poutcome";"complete"
"34165";31;"management";"single";"tertiary";"no";354;"no";"no";30;502;1;9;2;"success";"yes"
"34166";32;"technician";"single";"tertiary";"no";1246;"yes";"no";30;509;1;85;2;"success";"yes"
"34168";34;"management";"married";"tertiary";"no";3047;"no";"no";30;317;1;160;5;"other";"yes"
"34170";24;"student";"single";"secondary";"no";382;"no";"no";30;567;2;-1;0;"unknown";"yes"
"34171";29;"management";"single";"tertiary";"no";36252;"yes";"no";30;501;1;-1;0;"unknown";"yes"
"34173";40;"management";"married";"tertiary";"no";158;"no";"no";30;712;2;-1;0;"unknown";"yes"
"34176";29;"blue-collar";"single";"secondary";"no";734;"yes";"yes";30;259;1;296;1;"other";"yes"
"34177";30;"admin.";"single";"tertiary";"no";305;"no";"no";30;633;1;85;2;"success";"yes"
"34183";45;"blue-collar";"married";"secondary";"no";10252;"no";"no";4;675;2;-1;0;"unknown";"yes"
"34185";37;"management";"single";"tertiary";"no";3141;"no";"no";4;384;2;-1;0;"unknown";"yes"
"34187";36;"technician";"single";"secondary";"no";1228;"yes";"no";4;303;3;-1;0;"unknown";"yes"
"34194";40;"technician";"single";"tertiary";"no";1646;"yes";"no";4;392;2;91;3;"success";"yes"
"34197";28;"unemployed";"single";"primary";"no";236;"no";"no";4;193;1;87;3;"failure";"yes"
"34198";33;"management";"single";"tertiary";"no";5437;"no";"no";4;267;1;91;1;"failure";"yes"
"34200";33;"technician";"married";"secondary";"no";133;"no";"no";4;218;1;-1;0;"unknown";"yes"
"34201";56;"management";"married";"tertiary";"no";2333;"no";"no";4;244;1;-1;0;"unknown";"yes"
"34206";45;"blue-collar";"married";"secondary";"no";640;"yes";"no";4;447;1;-1;0;"unknown";"yes"
"34209";25;"student";"single";"tertiary";"no";253;"no";"no";4;597;1;-1;0;"unknown";"yes"
"34210";41;"blue-collar";"married";"secondary";"no";5060;"no";"no";4;963;1;83;3;"success";"yes"
"34211";38;"technician";"single";"secondary";"no";902;"yes";"no";4;301;3;90;1;"success";"yes"
"34212";47;"technician";"married";"secondary";"no";335;"no";"no";4;417;1;76;1;"success";"yes"
"34216";36;"services";"single";"secondary";"no";365;"no";"no";4;643;1;-1;0;"unknown";"yes"
"34219";42;"admin.";"single";"secondary";"no";1451;"yes";"no";4;251;4;-1;0;"unknown";"yes"
"34221";33;"technician";"single";"tertiary";"no";1636;"yes";"no";4;592;1;66;1;"success";"yes"
"34226";36;"admin.";"married";"tertiary";"no";3221;"no";"no";4;322;11;-1;0;"unknown";"yes"
"34235";60;"technician";"married";"secondary";"no";316;"no";"no";4;545;2;263;4;"failure";"yes"
"34236";33;"technician";"married";"secondary";"no";2044;"yes";"no";4;532;3;-1;0;"unknown";"yes"
"34242";33;"technician";"married";"secondary";"no";557;"no";"no";4;367;1;-1;0;"unknown";"yes"
"34244";33;"services";"single";"secondary";"no";489;"yes";"no";4;297;4;334;1;"other";"yes"
"34247";32;"student";"single";"tertiary";"no";1138;"no";"no";4;214;3;83;3;"success";"yes"
"34250";48;"blue-collar";"married";"secondary";"no";863;"yes";"no";4;412;5;350;2;"success";"yes"
"34274";36;"blue-collar";"married";"secondary";"no";218;"yes";"no";4;619;6;-1;0;"unknown";"yes"
"34280";36;"self-employed";"married";"secondary";"no";188;"yes";"yes";4;1046;3;333;2;"success";"yes"
"34291";45;"technician";"married";"secondary";"no";1998;"no";"no";4;237;5;-1;0;"unknown";"yes"
"34292";35;"management";"married";"tertiary";"no";520;"yes";"no";4;458;3;17;5;"failure";"yes"
"34297";38;"management";"single";"tertiary";"no";6368;"yes";"no";4;922;4;-1;0;"unknown";"yes"
"34303";52;"technician";"married";"tertiary";"no";876;"no";"no";4;601;3;-1;0;"unknown";"yes"
"34308";30;"self-employed";"married";"tertiary";"no";2666;"no";"no";4;781;3;89;1;"success";"yes"
"34309";31;"technician";"married";"secondary";"no";4182;"yes";"no";4;347;2;-1;0;"unknown";"yes"
"34314";32;"self-employed";"single";"tertiary";"no";3271;"no";"no";4;949;3;-1;0;"unknown";"yes"
"34318";39;"management";"single";"tertiary";"no";1515;"yes";"no";4;815;6;167;6;"failure";"yes"
"34323";45;"blue-collar";"married";"primary";"no";803;"yes";"no";4;742;4;-1;0;"unknown";"yes"
"34326";31;"technician";"married";"tertiary";"no";636;"yes";"no";4;352;4;-1;0;"unknown";"yes"
"34333";32;"blue-collar";"single";"secondary";"no";400;"no";"no";4;268;3;-1;0;"unknown";"yes"
"34336";39;"management";"single";"tertiary";"no";2454;"yes";"no";4;716;3;263;2;"failure";"yes"
"34337";30;"management";"single";"tertiary";"no";533;"no";"no";4;365;4;-1;0;"unknown";"yes"
"34340";56;"retired";"married";"primary";"no";9367;"no";"no";4;617;2;-1;0;"unknown";"yes"
"34342";30;"management";"married";"tertiary";"no";10884;"no";"no";4;333;2;-1;0;"unknown";"yes"
"34347";31;"management";"single";"tertiary";"no";12857;"yes";"no";4;483;4;87;2;"success";"yes"
"34351";26;"technician";"single";"secondary";"no";237;"yes";"no";4;1091;3;-1;0;"unknown";"yes"
"34360";29;"management";"single";"tertiary";"no";9407;"no";"no";4;267;6;-1;0;"unknown";"yes"
"34362";24;"student";"single";"secondary";"no";387;"no";"no";4;340;8;-1;0;"unknown";"yes"
"34367";35;"entrepreneur";"married";"secondary";"no";2971;"no";"no";4;429;4;164;2;"failure";"yes"
"34373";43;"technician";"married";"tertiary";"no";2643;"no";"no";4;331;5;-1;0;"unknown";"yes"
"34375";36;"services";"single";"secondary";"no";1227;"yes";"yes";4;775;5;341;3;"failure";"yes"
"34382";39;"blue-collar";"married";"secondary";"no";261;"no";"no";4;841;4;-1;0;"unknown";"yes"
"34390";29;"management";"single";"secondary";"no";3317;"no";"yes";4;640;7;-1;0;"unknown";"yes"
"34392";59;"retired";"single";"secondary";"no";514;"no";"no";4;673;6;90;1;"success";"yes"
"34407";50;"blue-collar";"married";"primary";"no";5872;"yes";"no";5;762;3;-1;0;"unknown";"yes"
"34464";46;"admin.";"single";"tertiary";"no";2889;"yes";"no";5;494;1;-1;0;"unknown";"yes"
"34467";36;"blue-collar";"married";"primary";"no";378;"yes";"no";5;1240;1;-1;0;"unknown";"yes"
"34476";35;"student";"single";"secondary";"no";188;"yes";"no";5;863;1;78;8;"success";"yes"
"34495";58;"admin.";"married";"secondary";"no";2160;"yes";"yes";5;1090;1;-1;0;"unknown";"yes"
"34518";37;"management";"married";"tertiary";"no";658;"yes";"no";5;838;1;-1;0;"unknown";"yes"
"34566";31;"blue-collar";"single";"secondary";"no";196;"yes";"no";5;568;1;341;7;"failure";"yes"
"34567";30;"blue-collar";"single";"primary";"no";253;"yes";"no";5;259;1;-1;0;"unknown";"yes"
"34639";41;"management";"married";"tertiary";"no";326;"yes";"no";5;788;1;-1;0;"unknown";"yes"
"34682";35;"admin.";"married";"secondary";"no";1286;"yes";"no";5;862;3;337;1;"other";"yes"
"34741";49;"blue-collar";"married";"secondary";"no";2039;"yes";"no";6;451;1;169;2;"failure";"yes"
"34756";27;"admin.";"married";"secondary";"no";710;"yes";"yes";6;653;1;334;2;"success";"yes"
"34795";37;"technician";"single";"secondary";"no";141;"yes";"no";6;848;1;364;3;"failure";"yes"
"34836";30;"management";"single";"tertiary";"no";415;"yes";"yes";6;984;1;343;4;"failure";"yes"
"34899";31;"blue-collar";"single";"secondary";"no";1979;"yes";"yes";6;1205;1;-1;0;"unknown";"yes"
"34922";36;"management";"single";"tertiary";"no";7506;"yes";"no";6;839;2;188;1;"success";"yes"
"34938";37;"management";"single";"tertiary";"no";102;"yes";"no";6;445;1;258;2;"failure";"yes"
"34954";32;"admin.";"married";"secondary";"no";752;"yes";"no";6;519;2;166;5;"failure";"yes"
"34977";29;"admin.";"single";"secondary";"no";266;"yes";"no";6;540;1;-1;0;"unknown";"yes"
"34997";26;"blue-collar";"single";"secondary";"no";191;"yes";"no";6;550;1;-1;0;"unknown";"yes"
"35031";28;"blue-collar";"single";"secondary";"no";524;"yes";"no";6;554;2;-1;0;"unknown";"yes"
"35034";60;"management";"married";"tertiary";"no";5990;"yes";"no";6;396;3;-1;0;"unknown";"yes"
"35058";33;"management";"married";"secondary";"no";3935;"yes";"no";6;765;1;342;2;"failure";"yes"
"35079";35;"management";"married";"tertiary";"no";991;"yes";"no";6;1489;3;-1;0;"unknown";"yes"
"35114";40;"management";"married";"tertiary";"no";1598;"yes";"yes";6;1074;4;344;3;"failure";"yes"
"35121";35;"management";"married";"tertiary";"no";802;"yes";"no";6;686;2;-1;0;"unknown";"yes"
"35130";38;"management";"single";"tertiary";"no";104;"yes";"no";6;606;3;-1;0;"unknown";"yes"
"35168";32;"management";"married";"tertiary";"no";2465;"yes";"yes";7;923;1;-1;0;"unknown";"yes"
"35201";31;"services";"single";"primary";"no";459;"yes";"no";7;623;1;293;1;"success";"yes"
"35227";26;"management";"single";"tertiary";"no";114;"yes";"no";7;457;1;-1;0;"unknown";"yes"
"35231";42;"blue-collar";"married";"primary";"no";1461;"yes";"no";7;757;2;170;3;"failure";"yes"
"35260";33;"admin.";"single";"tertiary";"no";475;"yes";"no";7;1046;1;-1;0;"unknown";"yes"
"35265";42;"management";"married";"tertiary";"no";1435;"yes";"no";7;1148;1;-1;0;"unknown";"yes"
"35270";35;"management";"single";"tertiary";"no";1618;"yes";"yes";7;542;1;-1;0;"unknown";"yes"
"35307";59;"admin.";"single";"secondary";"no";2166;"yes";"yes";7;574;1;-1;0;"unknown";"yes"
"35310";44;"blue-collar";"married";"primary";"no";4031;"yes";"no";7;983;4;-1;0;"unknown";"yes"
"35365";25;"admin.";"single";"secondary";"no";122;"yes";"no";7;481;2;-1;0;"unknown";"yes"
"35379";50;"services";"married";"primary";"no";5024;"yes";"yes";7;661;1;267;11;"other";"yes"
"35404";51;"admin.";"married";"secondary";"no";3025;"no";"no";7;476;1;352;1;"other";"yes"
"35448";43;"management";"married";"tertiary";"no";1429;"yes";"no";7;1030;1;169;3;"success";"yes"
"35462";26;"blue-collar";"single";"secondary";"no";311;"yes";"no";7;798;2;-1;0;"unknown";"yes"
"35516";49;"blue-collar";"single";"primary";"no";2146;"yes";"no";7;1516;2;353;2;"other";"yes"
"35534";42;"unemployed";"married";"secondary";"no";356;"yes";"no";7;787;3;356;2;"failure";"yes"
"35554";24;"services";"single";"secondary";"no";638;"yes";"yes";7;792;3;-1;0;"unknown";"yes"
"35567";45;"services";"single";"secondary";"no";608;"yes";"yes";7;1135;3;323;30;"failure";"yes"
"35580";39;"technician";"single";"secondary";"no";291;"yes";"no";7;882;2;-1;0;"unknown";"yes"
"35595";39;"services";"single";"secondary";"no";403;"yes";"no";7;1262;3;-1;0;"unknown";"yes"
"35638";39;"admin.";"single";"secondary";"no";2345;"yes";"no";8;491;2;344;2;"failure";"yes"
"35650";41;"blue-collar";"married";"secondary";"no";2039;"yes";"no";8;729;1;-1;0;"unknown";"yes"
"35733";57;"admin.";"married";"secondary";"no";6005;"yes";"no";8;704;1;323;6;"failure";"yes"
"35747";49;"management";"married";"tertiary";"no";1311;"yes";"no";8;813;1;-1;0;"unknown";"yes"
"35787";32;"blue-collar";"married";"secondary";"no";333;"yes";"no";8;501;2;-1;0;"unknown";"yes"
"35792";29;"management";"single";"tertiary";"no";3041;"yes";"no";8;606;3;-1;0;"unknown";"yes"
"35815";47;"blue-collar";"single";"primary";"no";603;"yes";"yes";8;1080;1;-1;0;"unknown";"yes"
"35822";33;"admin.";"single";"secondary";"no";294;"yes";"no";8;763;1;-1;0;"unknown";"yes"
"35837";57;"management";"married";"tertiary";"no";830;"yes";"yes";8;662;1;367;1;"success";"yes"
"35846";36;"technician";"single";"tertiary";"no";962;"yes";"no";8;568;1;-1;0;"unknown";"yes"
"35855";53;"technician";"single";"tertiary";"no";185;"yes";"no";8;1448;2;-1;0;"unknown";"yes"
"35876";33;"admin.";"single";"tertiary";"no";891;"no";"no";8;398;2;-1;0;"unknown";"yes"
"35957";59;"retired";"married";"tertiary";"no";148;"yes";"yes";8;685;2;366;1;"other";"yes"
"35958";47;"retired";"married";"primary";"no";1374;"no";"yes";8;479;2;359;3;"failure";"yes"
"35966";35;"student";"married";"tertiary";"no";387;"yes";"no";8;1024;3;347;3;"failure";"yes"
"36006";38;"self-employed";"single";"tertiary";"no";1612;"yes";"no";8;423;1;-1;0;"unknown";"yes"
"36101";36;"entrepreneur";"single";"secondary";"no";866;"yes";"no";11;629;1;173;1;"failure";"yes"
"36111";43;"management";"single";"tertiary";"no";580;"yes";"no";11;1514;1;284;2;"failure";"yes"
"36162";24;"services";"married";"secondary";"no";4500;"yes";"no";11;733;2;-1;0;"unknown";"yes"
"36288";36;"management";"single";"tertiary";"no";1400;"yes";"no";11;608;3;-1;0;"unknown";"yes"
"36298";38;"services";"married";"secondary";"no";5293;"yes";"no";11;475;1;171;6;"failure";"yes"
"36398";39;"blue-collar";"married";"secondary";"no";785;"yes";"no";11;1232;2;-1;0;"unknown";"yes"
"36420";25;"student";"single";"primary";"no";373;"yes";"no";11;819;2;-1;0;"unknown";"yes"
"36444";39;"management";"married";"tertiary";"no";763;"yes";"no";11;877;7;300;2;"other";"yes"
"36453";37;"blue-collar";"single";"secondary";"no";133;"yes";"no";11;1388;2;-1;0;"unknown";"yes"
"36466";41;"blue-collar";"married";"secondary";"no";1236;"yes";"no";11;911;3;-1;0;"unknown";"yes"
"36515";50;"retired";"married";"secondary";"no";8648;"no";"no";12;731;3;176;1;"failure";"yes"
"36537";34;"entrepreneur";"married";"primary";"no";7279;"yes";"no";12;882;1;-1;0;"unknown";"yes"
"36539";34;"admin.";"single";"secondary";"no";479;"yes";"no";12;515;1;350;5;"failure";"yes"
"36558";42;"entrepreneur";"single";"secondary";"no";335;"yes";"no";12;580;1;-1;0;"unknown";"yes"
"36560";38;"housemaid";"single";"primary";"no";199;"yes";"no";12;1203;1;306;1;"failure";"yes"
"36576";40;"blue-collar";"married";"secondary";"no";1808;"yes";"no";12;560;1;-1;0;"unknown";"yes"
"36584";39;"blue-collar";"married";"secondary";"no";167;"yes";"yes";12;612;1;-1;0;"unknown";"yes"
"36602";58;"entrepreneur";"married";"secondary";"no";670;"yes";"no";12;1272;1;-1;0;"unknown";"yes"
"36618";35;"blue-collar";"married";"primary";"no";159;"yes";"yes";12;826;1;-1;0;"unknown";"yes"
"36655";58;"blue-collar";"single";"secondary";"no";119;"yes";"yes";12;985;1;-1;0;"unknown";"yes"
"36679";34;"admin.";"single";"secondary";"no";151;"yes";"no";12;590;1;370;1;"other";"yes"
"36693";51;"blue-collar";"married";"secondary";"no";518;"yes";"no";12;918;1;-1;0;"unknown";"yes"
"36715";39;"management";"single";"tertiary";"no";5073;"yes";"no";12;1182;1;286;4;"failure";"yes"
"36727";39;"admin.";"married";"secondary";"no";607;"yes";"no";12;454;2;364;3;"failure";"yes"
"36753";47;"services";"married";"secondary";"no";367;"yes";"no";12;309;1;306;4;"success";"yes"
"36757";35;"blue-collar";"single";"secondary";"no";855;"yes";"no";12;549;1;300;1;"success";"yes"
"36768";33;"blue-collar";"married";"secondary";"no";1240;"yes";"no";12;844;1;-1;0;"unknown";"yes"
"36786";42;"services";"single";"secondary";"no";257;"yes";"no";12;955;2;-1;0;"unknown";"yes"
"36793";57;"admin.";"single";"secondary";"no";3551;"yes";"no";12;458;1;-1;0;"unknown";"yes"
"36802";47;"admin.";"married";"secondary";"no";663;"yes";"yes";12;409;1;274;6;"other";"yes"
"36805";38;"services";"single";"secondary";"no";895;"yes";"no";12;1531;1;-1;0;"unknown";"yes"
"36810";46;"blue-collar";"married";"primary";"no";804;"yes";"no";12;1063;2;361;1;"success";"yes"
"36830";47;"blue-collar";"married";"secondary";"no";802;"yes";"yes";12;289;2;-1;0;"unknown";"yes"
"36835";37;"admin.";"single";"primary";"no";912;"yes";"no";12;637;3;328;22;"other";"yes"
"36845";31;"admin.";"single";"tertiary";"no";355;"yes";"no";12;609;1;-1;0;"unknown";"yes"
"36846";38;"management";"single";"tertiary";"no";3646;"yes";"no";12;1710;2;286;1;"other";"yes"
"36864";44;"self-employed";"single";"tertiary";"no";2734;"yes";"no";12;897;4;-1;0;"unknown";"yes"
"36872";40;"services";"married";"secondary";"no";1836;"yes";"no";12;750;2;-1;0;"unknown";"yes"
"36874";39;"management";"married";"tertiary";"no";1425;"yes";"no";12;775;3;-1;0;"unknown";"yes"
"36890";45;"self-employed";"single";"tertiary";"no";963;"yes";"no";12;528;5;-1;0;"unknown";"yes"
"36908";59;"admin.";"married";"secondary";"no";145;"yes";"no";12;556;2;287;13;"success";"yes"
"36923";34;"blue-collar";"married";"secondary";"no";634;"no";"yes";12;737;3;-1;0;"unknown";"yes"
"36975";35;"technician";"single";"secondary";"no";399;"yes";"no";13;496;2;345;3;"failure";"yes"
"37021";36;"blue-collar";"married";"primary";"no";319;"yes";"no";13;774;2;301;1;"failure";"yes"
"37056";36;"blue-collar";"single";"secondary";"no";478;"yes";"no";13;610;1;-1;0;"unknown";"yes"
"37081";47;"blue-collar";"married";"primary";"no";4227;"yes";"no";13;659;1;-1;0;"unknown";"yes"
"37094";47;"housemaid";"single";"primary";"no";2785;"yes";"no";13;570;1;-1;0;"unknown";"yes"
"37096";38;"blue-collar";"married";"primary";"no";1401;"no";"no";13;516;1;-1;0;"unknown";"yes"
"37107";38;"blue-collar";"married";"primary";"no";1852;"yes";"no";13;606;1;-1;0;"unknown";"yes"
"37108";39;"blue-collar";"married";"secondary";"no";462;"yes";"no";13;590;1;-1;0;"unknown";"yes"
"37114";43;"housemaid";"single";"primary";"no";800;"yes";"no";13;902;1;-1;0;"unknown";"yes"
"37118";33;"technician";"married";"secondary";"no";221;"yes";"no";13;669;1;355;4;"failure";"yes"
"37124";34;"blue-collar";"married";"secondary";"no";1089;"yes";"no";13;394;3;-1;0;"unknown";"yes"
"37134";28;"admin.";"single";"secondary";"no";451;"yes";"no";13;302;1;301;1;"success";"yes"
"37141";46;"services";"married";"primary";"no";437;"yes";"no";13;546;3;-1;0;"unknown";"yes"
"37143";36;"blue-collar";"married";"primary";"no";828;"no";"no";13;1512;1;345;8;"failure";"yes"
"37159";34;"blue-collar";"married";"secondary";"no";496;"yes";"no";13;333;1;-1;0;"unknown";"yes"
"37173";42;"blue-collar";"single";"secondary";"no";1080;"yes";"yes";13;951;3;370;4;"failure";"yes"
"37185";33;"management";"married";"tertiary";"no";1064;"yes";"no";13;562;1;-1;0;"unknown";"yes"
"37191";39;"management";"married";"tertiary";"no";297;"yes";"no";13;734;2;-1;0;"unknown";"yes"
"37243";34;"admin.";"married";"tertiary";"no";142;"yes";"no";13;459;1;-1;0;"unknown";"yes"
"37251";32;"blue-collar";"single";"primary";"no";398;"yes";"no";13;716;1;-1;0;"unknown";"yes"
"37273";31;"admin.";"married";"secondary";"no";879;"yes";"no";13;394;1;-1;0;"unknown";"yes"
"37305";30;"admin.";"married";"secondary";"no";396;"yes";"no";13;366;3;348;2;"failure";"yes"
"37310";34;"management";"married";"tertiary";"no";3050;"yes";"no";13;469;1;-1;0;"unknown";"yes"
"37317";33;"services";"married";"secondary";"no";210;"yes";"no";13;1207;2;-1;0;"unknown";"yes"
"37329";52;"services";"married";"primary";"no";306;"yes";"no";13;650;5;-1;0;"unknown";"yes"
"37337";33;"blue-collar";"single";"primary";"no";863;"yes";"no";13;622;3;-1;0;"unknown";"yes"
"37350";30;"student";"single";"tertiary";"no";228;"yes";"no";13;314;2;-1;0;"unknown";"yes"
"37358";35;"management";"single";"tertiary";"no";1396;"yes";"no";13;809;1;300;1;"failure";"yes"
"37372";38;"services";"single";"secondary";"no";2253;"yes";"no";13;937;3;-1;0;"unknown";"yes"
"37378";59;"services";"married";"secondary";"no";2965;"yes";"no";13;1970;3;-1;0;"unknown";"yes"
"37396";29;"entrepreneur";"married";"secondary";"no";714;"yes";"yes";13;482;2;-1;0;"unknown";"yes"
"37411";41;"services";"married";"secondary";"no";471;"yes";"no";13;954;2;293;4;"success";"yes"
"37416";27;"blue-collar";"single";"primary";"no";265;"yes";"no";13;1119;2;-1;0;"unknown";"yes"
"37458";34;"management";"single";"tertiary";"no";3821;"yes";"no";13;649;2;-1;0;"unknown";"yes"
"37512";40;"blue-collar";"married";"primary";"no";830;"yes";"no";13;873;3;370;2;"failure";"yes"
"37515";38;"blue-collar";"married";"primary";"no";4406;"yes";"no";13;689;2;-1;0;"unknown";"yes"
"37519";53;"technician";"married";"secondary";"no";6831;"no";"no";13;1130;2;-1;0;"unknown";"yes"
"37575";36;"admin.";"single";"secondary";"no";437;"yes";"no";14;722;2;344;1;"success";"yes"
"37581";26;"management";"single";"tertiary";"no";3944;"yes";"no";14;974;2;-1;0;"unknown";"yes"
"37585";58;"services";"married";"primary";"no";2946;"yes";"no";14;467;1;-1;0;"unknown";"yes"
"37623";26;"blue-collar";"single";"secondary";"no";1006;"yes";"no";14;667;1;-1;0;"unknown";"yes"
"37624";38;"services";"married";"secondary";"no";934;"yes";"no";14;715;1;-1;0;"unknown";"yes"
"37652";44;"admin.";"single";"secondary";"no";2999;"yes";"no";14;717;1;-1;0;"unknown";"yes"
"37668";31;"self-employed";"single";"tertiary";"no";17924;"yes";"no";14;745;1;174;3;"failure";"yes"
"37669";55;"blue-collar";"single";"primary";"no";8180;"no";"no";14;854;2;360;1;"failure";"yes"
"37674";32;"management";"married";"tertiary";"no";2431;"yes";"no";14;646;5;-1;0;"unknown";"yes"
"37682";35;"services";"married";"secondary";"no";341;"yes";"no";14;345;1;-1;0;"unknown";"yes"
"37688";35;"blue-collar";"single";"secondary";"no";4963;"yes";"no";14;456;1;300;1;"failure";"yes"
"37691";31;"admin.";"married";"secondary";"no";8781;"yes";"no";14;680;1;177;1;"success";"yes"
"37693";39;"technician";"single";"secondary";"no";1355;"yes";"no";14;1180;1;-1;0;"unknown";"yes"
"37712";39;"management";"married";"tertiary";"no";1738;"yes";"no";14;633;1;358;1;"other";"yes"
"37715";48;"blue-collar";"married";"primary";"no";214;"yes";"yes";14;307;1;177;2;"failure";"yes"
"37736";40;"blue-collar";"single";"secondary";"no";973;"no";"no";14;449;1;-1;0;"unknown";"yes"
"37748";32;"admin.";"married";"secondary";"no";684;"yes";"no";14;607;3;-1;0;"unknown";"yes"
"37752";29;"management";"married";"secondary";"no";231;"no";"no";14;1075;1;14;1;"failure";"yes"
"37757";41;"blue-collar";"married";"secondary";"no";580;"yes";"no";14;874;1;363;1;"failure";"yes"
"37781";34;"management";"married";"tertiary";"no";273;"yes";"no";14;492;1;175;2;"failure";"yes"
"37789";32;"blue-collar";"single";"secondary";"no";811;"yes";"no";14;563;1;-1;0;"unknown";"yes"
"37812";36;"self-employed";"single";"tertiary";"no";1354;"yes";"no";14;1723;1;356;2;"success";"yes"
"37874";29;"blue-collar";"married";"secondary";"no";7863;"yes";"no";14;1129;1;-1;0;"unknown";"yes"
"37877";35;"blue-collar";"single";"secondary";"no";336;"yes";"no";14;191;1;346;2;"failure";"yes"
"37887";36;"blue-collar";"married";"secondary";"no";1049;"yes";"no";14;224;4;-1;0;"unknown";"yes"
"37888";37;"services";"married";"secondary";"no";6089;"yes";"no";14;616;2;-1;0;"unknown";"yes"
"37920";31;"blue-collar";"single";"secondary";"no";953;"yes";"no";14;479;1;346;2;"success";"yes"
"37925";33;"admin.";"single";"secondary";"no";315;"yes";"yes";14;888;3;-1;0;"unknown";"yes"
"37941";59;"retired";"single";"secondary";"no";5845;"no";"no";14;1060;2;-1;0;"unknown";"yes"
"37950";28;"student";"single";"secondary";"no";1377;"yes";"no";14;688;2;-1;0;"unknown";"yes"
"37991";30;"blue-collar";"married";"secondary";"no";378;"yes";"no";14;566;2;-1;0;"unknown";"yes"
"37994";53;"services";"single";"secondary";"no";765;"yes";"no";14;959;3;174;7;"other";"yes"
"38006";26;"blue-collar";"married";"secondary";"no";5795;"yes";"no";14;1094;2;-1;0;"unknown";"yes"
"38007";30;"admin.";"single";"secondary";"no";315;"yes";"no";14;884;3;346;4;"failure";"yes"
"38012";35;"management";"single";"tertiary";"no";916;"yes";"no";14;460;2;-1;0;"unknown";"yes"
"38013";34;"admin.";"married";"secondary";"no";124;"yes";"no";14;604;4;366;2;"other";"yes"
"38047";33;"services";"married";"secondary";"no";207;"yes";"no";14;629;4;-1;0;"unknown";"yes"
"38090";59;"retired";"married";"tertiary";"no";422;"yes";"no";14;647;4;-1;0;"unknown";"yes"
"38100";36;"technician";"single";"secondary";"no";125;"yes";"no";15;676;3;-1;0;"unknown";"yes"
"38116";39;"services";"single";"secondary";"no";7066;"yes";"no";15;667;3;357;3;"other";"yes"
"38117";42;"services";"married";"secondary";"no";146;"yes";"yes";15;670;4;346;1;"failure";"yes"
"38143";60;"retired";"single";"secondary";"no";496;"yes";"no";15;655;2;-1;0;"unknown";"yes"
"38157";29;"blue-collar";"married";"secondary";"no";940;"yes";"yes";15;382;1;-1;0;"unknown";"yes"
"38171";30;"services";"single";"secondary";"no";140;"yes";"no";15;760;1;-1;0;"unknown";"yes"
"38249";28;"admin.";"single";"secondary";"no";154;"yes";"no";15;536;1;364;1;"other";"yes"
"38263";35;"admin.";"single";"secondary";"no";534;"no";"no";15;669;1;312;3;"failure";"yes"
"38272";35;"housemaid";"married";"tertiary";"no";1265;"yes";"no";15;326;5;179;4;"failure";"yes"
"38290";28;"management";"single";"secondary";"no";703;"yes";"no";15;485;1;88;1;"other";"yes"
"38301";31;"admin.";"married";"secondary";"no";685;"yes";"no";15;552;1;329;3;"failure";"yes"
"38312";23;"blue-collar";"single";"secondary";"no";780;"yes";"no";15;416;1;-1;0;"unknown";"yes"
"38327";46;"blue-collar";"married";"primary";"no";1085;"yes";"yes";15;523;2;353;58;"other";"yes"
"38368";60;"management";"single";"tertiary";"no";560;"no";"no";15;730;5;-1;0;"unknown";"yes"
"38380";29;"services";"married";"secondary";"no";6567;"yes";"no";15;792;2;298;1;"failure";"yes"
"38393";39;"entrepreneur";"married";"secondary";"no";2139;"yes";"no";15;576;4;371;1;"failure";"yes"
"38410";54;"unemployed";"married";"secondary";"no";582;"yes";"no";15;693;5;372;2;"failure";"yes"
"38418";34;"technician";"single";"secondary";"no";194;"yes";"yes";15;1015;1;-1;0;"unknown";"yes"
"38419";27;"services";"single";"secondary";"no";353;"yes";"no";15;663;1;-1;0;"unknown";"yes"
"38429";28;"services";"single";"secondary";"no";341;"yes";"no";15;437;3;347;3;"other";"yes"
"38464";26;"student";"single";"secondary";"no";864;"yes";"no";15;659;1;-1;0;"unknown";"yes"
"38465";32;"management";"married";"secondary";"no";134;"yes";"yes";15;532;3;-1;0;"unknown";"yes"
"38478";25;"admin.";"single";"secondary";"no";507;"yes";"no";15;832;1;367;3;"failure";"yes"
"38492";48;"blue-collar";"married";"secondary";"no";480;"yes";"no";15;830;1;352;2;"failure";"yes"
"38495";39;"admin.";"single";"secondary";"no";878;"yes";"no";15;611;5;-1;0;"unknown";"yes"
"38498";40;"admin.";"married";"secondary";"no";2574;"yes";"no";15;432;1;176;1;"failure";"yes"
"38502";24;"blue-collar";"single";"secondary";"no";833;"yes";"no";15;956;1;-1;0;"unknown";"yes"
"38523";31;"management";"single";"tertiary";"no";2734;"yes";"no";15;858;3;-1;0;"unknown";"yes"
"38528";42;"admin.";"single";"secondary";"no";241;"yes";"no";15;1012;3;-1;0;"unknown";"yes"
"38535";51;"blue-collar";"married";"primary";"no";129;"yes";"no";15;611;2;-1;0;"unknown";"yes"
"38546";32;"management";"married";"tertiary";"no";3387;"yes";"no";15;1111;5;-1;0;"unknown";"yes"
"38557";36;"admin.";"single";"secondary";"no";148;"yes";"no";15;1357;4;374;2;"failure";"yes"
